recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645756068443,0.54740906,1.7185211,-1.8596649,0.05517578,-0.18847656,1.0092773,-3.4520504216934578,-9.777775929752424,-87.106483945937,0.72353876,-0.082414724,0.036945116,-0.68434966
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645766358443,0.85258484,2.2068024,-1.9168854,0.062499996,-0.17138672,1.0092773,-3.4361628790691747,-9.769505230689873,-87.1232011544615,0.7234368,-0.08226248,0.03700777,-0.68447244
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645776648443,0.54740906,1.7795563,-1.7337799,0.06591797,-0.18017578,1.003418,-3.4203867233094845,-9.764231082273472,-87.13852805829461,0.723342,-0.08213015,0.03708668,-0.6845842
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645786938443,0.6084442,1.8405914,-2.2220612,0.05908203,-0.18554688,1.012207,-3.40476527930194,-9.76008910481617,-87.1564667079416,0.72323126,-0.08200499,0.03717325,-0.6847115
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645797510443,0.78964233,1.7776489,-1.6765594,0.05126953,-0.16992188,1.0151367,-3.3923271059468165,-9.752961395829859,-87.17103256907784,0.72314274,-0.081881166,0.03721934,-0.6848173
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645808082443,0.97465515,1.3523102,-1.6765594,0.051757812,-0.17333984,1.0058594,-3.3815369877666854,-9.74429082547761,-87.18353301888958,0.72306764,-0.081758164,0.03724426,-0.68490994
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645818654443,0.60653687,1.2321472,-1.5506744,0.04833984,-0.17285156,1.0043945,-3.36910801512162,-9.737161523354905,-87.19766549171312,0.7229817,-0.08163451,0.037289917,-0.68501294
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645830124443,0.66947937,1.3523102,-1.6765594,0.047851566,-0.1796875,1.0126953,-3.346746153878687,-9.724256587674807,-87.22901892605705,0.72279155,-0.081409566,0.037375726,-0.68523556
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645841594443,1.0356903,1.1081696,-1.9168854,0.04638672,-0.1743164,0.9951171,-3.336557816190744,-9.715364629996671,-87.24461053326384,0.7226982,-0.081287734,0.0373976,-0.6853473
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645853064443,0.60653687,0.92315674,-2.0999908,0.048828125,-0.16796875,0.99951166,-3.3273784186911675,-9.710307022961365,-87.26198782967222,0.7225931,-0.081195414,0.0374374,-0.68546695
